word,length,freq,log_freq,concreteness,pos
optional,8,"11,022",9.308,1.9,JJ
criteria,8,"11,055",9.311,2.5,NN
prepare,7,"11,056",9.311,2.36,VB
incoming,8,"11,069",9.312,2.5,JJ|VB|NN
badly,5,"11,077",9.313,1.93,RB
discover,8,"11,099",9.315,2.37,VB
intend,6,"11,108",9.315,1.71,VB
rational,8,"11,109",9.316,1.62,JJ
assumed,7,"11,110",9.316,1.86,VB
nope,4,"11,114",9.316,2.35,minor|NN
severe,6,"11,163",9.32,2.43,JJ
rapidly,7,"11,246",9.328,2.5,RB
conduct,7,"11,248",9.328,2.08,VB
derived,7,"11,303",9.333,2,VB
shame,5,"11,304",9.333,2.24,NN|VB
upset,5,"11,355",9.337,2.41,VB|JJ
whereas,7,"11,500",9.35,1.46,minor
Randy,5,"11,522",9.352,2.48,NN|JJ
pleased,7,"11,563",9.356,2.37,VB|JJ
suffer,6,"11,675",9.365,2.28,VB
joy,3,"11,703",9.368,2.37,NN
priority,8,"11,719",9.369,1.76,NN
appeal,6,"11,721",9.369,1.73,NN|VB
infinite,8,"11,736",9.37,1.59,JJ|NN
ban,3,"11,740",9.371,2.37,NN|VB
ordinary,8,"11,769",9.373,1.79,JJ
grace,5,"11,819",9.377,1.78,NN|VB
neat,4,"11,901",9.384,2.47,JJ|NN
honor,5,"11,938",9.387,1.68,NN|VB
deserve,7,"11,987",9.392,1.69,VB
earn,4,"11,987",9.392,2.39,VB
suitable,8,"11,990",9.392,1.93,JJ
vary,4,"11,991",9.392,1.93,VB
convince,8,"12,075",9.399,1.85,VB
rating,6,"12,090",9.4,2.26,NN|VB
excel,5,"12,124",9.403,2.15,VB|NN
innocent,8,"12,203",9.409,1.54,JJ|NN
terrible,8,"12,323",9.419,2.04,JJ
affected,8,"12,344",9.421,1.93,VB
saving,6,"12,352",9.422,2.36,VB|NN
dumb,4,"12,449",9.429,2.36,JJ|NN
unlikely,8,"12,464",9.431,1.93,JJ|RB
guilty,6,"12,515",9.435,2.36,JJ|NN
promote,7,"12,531",9.436,2.26,VB
enable,6,"12,551",9.438,2.03,VB
wisdom,6,"12,554",9.438,1.53,NN
blues,5,"12,589",9.441,2.31,NN
identity,8,"12,593",9.441,2,NN
broad,5,"12,608",9.442,2.45,JJ|NN
unusual,7,"12,648",9.445,2.21,JJ
boring,6,"12,707",9.45,2.07,JJ|NN|VB
freely,6,"12,728",9.452,2.3,RB
amateur,7,"12,735",9.452,2.31,NN|JJ
humor,5,"12,777",9.455,2.26,NN|VB
horror,6,"12,795",9.457,2.5,NN
blah,4,"12,804",9.458,1.4,NN|minor
divine,6,"12,808",9.458,1.44,JJ|NN
contrary,8,"12,919",9.466,1.56,JJ|NN
wanting,7,"12,942",9.468,2,VB
intent,6,"13,020",9.474,1.52,NN
slight,6,"13,036",9.475,1.9,JJ|NN|VB
deny,4,"13,082",9.479,2.2,VB
lately,6,"13,220",9.489,1.41,RB
demonic,7,"13,300",9.496,2.17,JJ
equally,7,"13,304",9.496,1.59,RB
annoying,8,"13,329",9.498,2.31,JJ|VB|NN
widely,6,"13,343",9.499,2.21,RB
sometime,8,"13,368",9.501,1.47,RB|JJ
wise,4,"13,444",9.506,1.97,JJ|NN
useless,7,"13,510",9.511,1.78,JJ
chose,5,"13,608",9.518,2.48,VB
crisis,6,"13,610",9.519,2.33,NN
privacy,7,"13,645",9.521,1.5,NN
rarely,6,"13,743",9.528,1.64,RB
exposure,8,"13,747",9.529,2.39,NN
vast,4,"13,766",9.53,2.1,JJ
closely,7,"13,969",9.545,2.46,RB
nasty,5,"14,007",9.547,2.37,JJ|NN
ending,6,"14,130",9.556,2.31,VB|NN
huh,3,"14,281",9.567,1.68,minor
avail,5,"14,304",9.568,1.33,NN|VB
wow,3,"14,332",9.57,1.48,minor|NN|VB
promise,7,"14,380",9.574,2.09,NN|VB
exciting,8,"14,495",9.582,1.96,JJ|VB
tomorrow,8,"14,556",9.586,2.04,NN|RB
patient,7,"14,671",9.594,2.5,JJ
belong,6,"14,806",9.603,1.43,VB|JJ
prompt,6,"14,839",9.605,2.25,VB|JJ|NN
chosen,6,"14,953",9.613,2.33,VB|NN
extent,6,"14,969",9.614,1.44,NN
duty,4,"14,997",9.616,2.19,NN
era,3,"15,136",9.625,2.24,NN
informed,8,"15,141",9.625,1.71,VB
reduced,7,"15,171",9.627,2.21,VB|JJ
ought,5,"15,181",9.628,1.43,VB
defend,6,"15,251",9.632,2.31,VB
valuable,8,"15,458",9.646,2.22,JJ
aspect,6,"15,514",9.649,1.82,NN
achieve,7,"15,544",9.651,2.29,VB
usage,5,"15,549",9.652,2.07,NN|JJ
regard,6,"15,551",9.652,1.79,NN|VB
reserved,8,"15,567",9.653,2.04,VB|JJ
fresh,5,"15,597",9.655,1.97,JJ|NN
causing,7,"15,663",9.659,1.55,VB
losing,6,"15,711",9.662,2.28,VB|NN
reform,6,"15,887",9.673,2,NN|VB
vice,4,"15,887",9.673,2.46,NN
scheme,6,"15,924",9.676,2.41,NN|VB
motif,5,"15,926",9.676,2.45,NN
extreme,7,"15,968",9.678,1.96,JJ|NN
specify,7,"16,160",9.69,2.3,VB
weird,5,"16,200",9.693,1.59,JJ|NN
quantum,7,"16,245",9.696,1.9,NN
heaven,6,"16,257",9.696,1.81,NN
odd,3,"16,315",9.7,1.7,JJ
feedback,8,"16,363",9.703,2.48,NN
ultimate,8,"16,369",9.703,1.7,JJ|NN
opposite,8,"16,623",9.719,1.79,JJ|NN|minor
proud,5,"16,648",9.72,2.07,JJ|NN
dynamic,7,"16,682",9.722,2.44,JJ|NN
figured,7,"16,686",9.722,2.46,VB
generate,8,"16,688",9.722,2.23,VB
reaction,8,"16,706",9.724,2.41,NN
phase,5,"16,742",9.726,2.46,NN|VB
proven,6,"16,826",9.731,2.14,VB|JJ
absolute,8,"16,840",9.732,1.81,JJ|NN
pleasure,8,"16,862",9.733,2.04,NN|VB
supreme,7,"16,923",9.736,2,NN
conflict,8,"16,956",9.738,2.21,NN
reliable,8,"16,975",9.739,1.86,JJ
ideal,5,"17,084",9.746,1.37,JJ|NN
mainly,6,"17,121",9.748,2,RB
liberty,7,"17,135",9.749,1.85,NN
origin,6,"17,202",9.753,2.03,NN
blame,5,"17,326",9.76,2.06,VB|NN
tough,5,"17,334",9.76,2.5,JJ|NN
aside,5,"17,413",9.765,2.21,RB
sin,3,"17,449",9.767,1.85,NN|VB
famous,6,"17,485",9.769,2.07,JJ
friendly,8,"17,486",9.769,2.32,JJ
surely,6,"17,518",9.771,1.71,RB
crazy,5,"17,520",9.771,2.37,JJ
directed,8,"17,588",9.775,2.39,VB
academic,8,"17,622",9.777,2.11,JJ|NN
ensure,6,"17,712",9.782,1.68,VB|NN
smart,5,"17,782",9.786,1.75,JJ|NN|VB
lucky,5,"17,795",9.787,1.76,JJ|NN
latter,6,"17,819",9.788,2.17,NN
harder,6,"17,821",9.788,2,JJ|NN
forgot,6,"18,013",9.799,2.18,VB
constant,8,"18,068",9.802,2.04,JJ|NN
confused,8,"18,084",9.803,2.33,VB|JJ
manage,6,"18,086",9.803,2,VB
logical,7,"18,189",9.809,2.11,JJ
ancient,7,"18,204",9.809,2.04,JJ|NN
powers,6,"18,275",9.813,1.77,NN|VB
skill,5,"18,471",9.824,2.17,NN|JJ
taught,6,"18,606",9.831,2.21,VB
afford,6,"18,642",9.833,1.83,VB
mental,6,"18,663",9.834,2.04,JJ
affect,6,"18,690",9.836,1.93,VB
opposed,7,"18,736",9.838,2.14,VB|JJ
ended,5,"18,912",9.848,2.08,VB
desired,7,"19,025",9.854,1.93,VB|JJ
creative,8,"19,097",9.857,1.93,JJ
fiction,7,"19,200",9.863,2.14,NN
strategy,8,"19,202",9.863,1.93,NN
cultural,8,"19,229",9.864,2.1,JJ|NN
excuse,6,"19,298",9.868,2.29,NN
uncommon,8,"19,316",9.869,2.38,JJ
superior,8,"19,327",9.869,2.03,JJ|NN
belief,6,"19,406",9.873,1.19,NN
brief,5,"19,495",9.878,2.38,JJ|NN|VB
strongly,8,"19,522",9.879,2.39,RB
favor,5,"19,604",9.883,2.07,NN|VB
busy,4,"19,614",9.884,2.41,JJ
marvel,6,"19,626",9.885,2.12,NN|VB
liberal,7,"19,800",9.893,1.67,JJ
becoming,8,"19,871",9.897,1.67,VB|NN|JJ
fault,5,"19,968",9.902,2.41,NN|VB
concern,7,"19,989",9.903,1.7,NN|VB
solve,5,"20,011",9.904,2.1,VB|NN
lived,5,"20,075",9.907,2.38,VB
hence,5,"20,117",9.909,1.41,RB
progress,8,"20,169",9.912,2.12,NN
rid,3,"20,179",9.912,2.13,JJ|VB
extended,8,"20,378",9.922,2.34,VB
curious,7,"20,418",9.924,1.75,JJ
bother,6,"20,419",9.924,2,VB|NN|minor
critical,8,"20,425",9.925,2.14,JJ
Monday,6,"20,612",9.934,2.25,NN
attitude,8,"20,636",9.935,1.97,NN
cancel,6,"20,643",9.935,2.41,VB|NN
forever,7,"20,701",9.938,1.34,RB|NN
variable,8,"20,715",9.939,2.24,JJ|NN
careful,7,"20,979",9.951,1.86,JJ
detail,6,"21,053",9.955,2.5,NN|VB
detailed,8,"21,090",9.957,2.27,VB|JJ
fantasy,7,"21,100",9.957,1.59,NN
suddenly,8,"21,143",9.959,1.84,RB
pure,4,"21,172",9.96,1.87,JJ|NN
moral,5,"21,254",9.964,1.69,JJ|NN
occur,5,"21,415",9.972,1.84,VB
dealing,7,"21,491",9.975,2.37,VB|NN
accurate,8,"21,492",9.975,1.9,JJ
protocol,8,"21,507",9.976,1.97,NN
hardly,6,"21,524",9.977,1.62,RB
reduce,6,"21,540",9.978,2,VB
silly,5,"21,570",9.979,2.2,JJ|NN
capable,7,"21,671",9.984,2.21,JJ
prepared,8,"21,850",9.992,2.07,VB|JJ
agreed,6,"21,890",9.994,1.93,VB|JJ
typical,7,"21,919",9.995,1.52,JJ
prime,5,"22,011",9.999,2.48,JJ|NN|VB
honest,6,"22,071",10.002,1.66,JJ|minor
improve,7,"22,090",10.003,1.82,VB|NN
grand,5,"22,146",10.005,1.67,JJ|NN
manner,6,"22,183",10.007,1.62,NN
unknown,7,"22,330",10.014,1.47,JJ|NN
random,6,"22,335",10.014,2,JJ|NN
forth,5,"22,411",10.017,2.38,RB|NN|JJ
indicate,8,"22,492",10.021,2.39,VB
creation,8,"22,642",10.028,2.15,NN
plenty,6,"22,730",10.031,2.39,NN
decent,6,"22,901",10.039,2.04,JJ
whenever,8,"22,956",10.041,1.79,minor
describe,8,"22,980",10.042,2.18,VB
desire,6,"23,188",10.051,1.7,NN|VB
applied,7,"23,252",10.054,1.96,VB|JJ
plain,5,"23,526",10.066,2.26,JJ|NN|RB
annual,6,"23,577",10.068,1.78,JJ|NN
safety,6,"23,660",10.072,2.37,NN
returned,8,"23,694",10.073,2.27,VB
wild,4,"23,869",10.08,2.41,JJ|RB
gain,4,"23,905",10.082,2.24,VB|NN
knowing,7,"23,913",10.082,1.59,VB|NN
worst,5,"23,946",10.084,1.54,JJ|RB|NN|VB
failure,7,"23,998",10.086,2.08,NN
unable,6,"24,024",10.087,1.77,JJ
define,6,"24,310",10.099,2.15,VB
negative,8,"24,446",10.104,1.79,JJ|NN
remain,6,"24,587",10.11,1.96,VB
unique,6,"24,825",10.12,1.89,JJ|NN
overall,7,"24,845",10.12,1.76,JJ|RB
normally,8,"24,873",10.122,1.83,RB
Max,3,"24,879",10.122,2.18,NN
context,7,"24,912",10.123,2.17,NN
amazing,7,"25,096",10.13,1.55,JJ|VB
valid,5,"25,178",10.134,2.27,JJ
defined,7,"25,213",10.135,2.07,VB
express,7,"25,308",10.139,2.21,VB|NN
mistake,7,"25,420",10.143,1.97,NN|VB
revised,7,"25,426",10.144,2.15,VB
assuming,8,"25,476",10.145,1.5,VB
glad,4,"25,586",10.15,2.36,JJ
merely,6,"25,599",10.15,1.42,RB
relevant,8,"25,732",10.155,1.72,JJ
demand,6,"25,807",10.158,2.2,NN|VB
somehow,7,"25,825",10.159,1.28,RB
despite,7,"26,140",10.171,1.33,minor
anymore,7,"26,212",10.174,2.04,RB
entirely,8,"26,379",10.18,1.81,RB
reserve,7,"26,384",10.181,2.29,NN|VB|JJ
helpful,7,"26,425",10.182,1.76,JJ
refer,5,"26,546",10.187,2.41,VB
keeping,7,"26,730",10.194,2.19,VB|NN
instance,8,"26,887",10.199,1.97,NN
familiar,8,"26,893",10.2,2.03,JJ|NN
classic,7,"26,905",10.2,2,JJ|NN
admit,5,"27,202",10.211,2.32,VB
holy,4,"27,262",10.213,1.67,JJ|NN
maintain,8,"27,327",10.216,2.32,VB
focus,5,"27,452",10.22,2.35,NN|VB
forced,6,"27,590",10.225,2.25,VB|JJ
positive,8,"27,619",10.226,2.44,JJ|NN
ignore,6,"27,790",10.232,2.22,VB
civil,5,"27,980",10.239,2.07,JJ|NN
smaller,7,"28,021",10.241,2.46,JJ|NN
toward,6,"28,152",10.245,2.28,minor
learned,7,"28,190",10.247,2.46,VB
super,5,"28,262",10.249,1.9,JJ|NN
whom,4,"28,333",10.252,1.93,minor
prior,5,"28,632",10.262,2.45,RB|JJ
usual,5,"28,950",10.273,1.9,JJ|NN
compiler,8,"29,044",10.277,2.46,NN
prevent,7,"29,122",10.279,2.34,VB
regards,7,"29,212",10.282,2.04,NN|VB
trust,5,"29,358",10.287,2.04,NN|VB
properly,8,"29,409",10.289,1.93,RB
dear,4,"29,554",10.294,2.25,JJ|NN|minor
default,7,"29,719",10.3,2,NN|VB
faith,5,"29,740",10.3,1.63,NN
complex,7,"29,781",10.302,1.96,JJ
serial,6,"29,800",10.302,2.44,JJ|NN
becomes,7,"29,891",10.305,1.61,VB
behavior,8,"29,913",10.306,2.19,NN
loss,4,"30,002",10.309,2.19,NN
damn,4,"30,471",10.325,2,JJ|VB|NN|RB|minor
telling,7,"30,726",10.333,2.45,VB|NN|JJ
variety,7,"30,727",10.333,2.13,NN
truly,5,"30,729",10.333,1.62,RB
benefit,7,"30,754",10.334,2.25,NN|VB
concept,7,"30,857",10.337,1.41,NN
limit,5,"31,222",10.349,2.28,NN|VB
primary,7,"31,286",10.351,2.28,JJ
tend,4,"31,395",10.354,2,VB
existing,8,"31,565",10.36,2,VB|NN
prove,5,"31,645",10.362,1.83,VB|NN
justice,7,"31,679",10.363,1.45,NN
proper,6,"31,703",10.364,1.78,JJ
defense,7,"31,710",10.364,2.45,NN
illegal,7,"31,825",10.368,2.37,JJ|NN
virtual,7,"31,841",10.369,2.17,JJ|NN
meaning,7,"31,933",10.371,1.85,NN|VB
somewhat,8,"31,984",10.373,1.28,RB|NN
powerful,8,"32,105",10.377,2.17,JJ|NN
strange,7,"32,164",10.379,1.86,JJ|NN
soul,4,"32,352",10.384,1.86,NN
intended,8,"32,601",10.392,1.85,VB
yours,5,"32,621",10.393,2.14,minor
nobody,6,"32,857",10.4,2.32,NN
role,4,"32,941",10.402,2.19,NN
suppose,7,"33,112",10.408,1.37,VB
sexual,6,"33,375",10.416,2.5,JJ
besides,7,"33,522",10.42,2.25,minor
nearly,6,"33,528",10.42,1.89,RB
doom,4,"33,765",10.427,1.5,NN|VB
accepted,8,"33,901",10.431,2.28,VB|JJ
okay,4,"33,915",10.432,1.89,JJ|minor|NN|VB
logic,5,"34,025",10.435,1.72,NN
cheap,5,"34,326",10.444,2.11,JJ|RB|NN
imagine,7,"34,419",10.446,1.53,VB
worse,5,"34,812",10.458,1.61,JJ|RB|NN
realize,7,"34,837",10.458,2.03,VB
anywhere,8,"34,991",10.463,2.21,RB|NN
fully,5,"35,053",10.465,1.89,RB
secret,6,"35,327",10.472,2.19,JJ|NN
upgrade,7,"35,367",10.474,2.36,VB
modern,6,"35,406",10.475,2.31,JJ|NN
input,5,"35,427",10.475,2.5,NN|VB
develop,7,"35,652",10.482,1.87,VB
greatly,7,"35,739",10.484,1.89,RB
greater,7,"35,761",10.485,2.35,JJ|RB|NN
slightly,8,"35,773",10.485,1.79,RB
decide,6,"35,825",10.486,1.92,VB
rare,4,"36,258",10.498,1.96,JJ
risk,4,"36,284",10.499,1.63,NN|VB
alpha,5,"36,445",10.504,1.81,NN|JJ|minor
advanced,8,"36,516",10.506,1.83,VB|JJ
decision,8,"36,601",10.508,2.19,NN
meant,5,"36,601",10.508,1.5,VB
funny,5,"36,714",10.511,2.5,JJ
success,7,"37,069",10.521,2.21,NN
